Piezómetro,Fecha,Cota Terreno,Lectura mes ant,Lectura mes act,Cota del nivel de agua (msnm)
29,14/09/2009,4.13,0.39,0.75,3.38
30,14/09/2009,3.45,0.62,0.73,2.72
31,14/09/2009,2.75,0.55,0.56,2.19
32,14/09/2009,2.49,0.45,0.55,1.94
33,14/09/2009,2.77,0.50,0.57,2.20
34,14/09/2009,2.62,0.35,0.56,2.06
1,01/10/2009,2.67,1.00,0.96,1.71
2,01/10/2009,1.90,0.68,0.57,1.33
3,01/10/2009,1.82,0.69,0.60,1.22
4,01/10/2009,3.34,1.55,1.48,1.86
5,01/10/2009,3.11,0.55,0.76,2.35
6,01/10/2009,3.09,0.78,1.02,2.07
7,01/10/2009,2.14,0.88,0.74,1.40
8,01/10/2009,2.20,0.63,0.45,1.75
9,01/10/2009,3.84,0.91,1.05,2.79
10,01/10/2009,3.86,0.35,0.52,3.34
11,01/10/2009,3.27,0.67,0.98,2.29
12,01/10/2009,3.20,0.87,0.89,2.31
13,01/10/2009,3.13,0.85,0.91,2.22
14,01/10/2009,2.18,0.58,0.59,1.59
15,01/10/2009,2.39,0.45,0.47,1.92
16,01/10/2009,2.83,0.56,0.59,2.24
17,01/10/2009,2.93,0.49,0.54,2.39
18,01/10/2009,3.19,0.52,0.58,2.61
19,01/10/2009,4.20,1.15,1.19,3.01
20,01/10/2009,3.14,0.95,1.03,2.11
21,01/10/2009,3.00,0.52,0.61,2.39
22,01/10/2009,3.02,1.13,1.15,1.87
23,01/10/2009,2.82,0.91,0.97,1.85
24,01/10/2009,3.83,0.94,0.98,2.85
25,01/10/2009,3.92,1.05,1.08,2.84
26,01/10/2009,4.06,0.81,0.79,3.27
27,01/10/2009,4.66,1.22,1.25,3.41
28,01/10/2009,4.58,0.92,0.98,3.60
29,01/10/2009,4.13,0.75,0.79,3.34
30,01/10/2009,3.45,0.73,0.78,2.67
31,01/10/2009,2.75,0.56,0.58,2.17
32,01/10/2009,2.49,0.55,0.59,1.90
33,01/10/2009,2.77,0.57,0.60,2.17
34,01/10/2009,2.62,0.56,0.58,2.04
1,01/11/2009,2.67,0.96,0.59,2.08
2,01/11/2009,1.90,0.57,0.16,1.74
3,01/11/2009,1.82,0.60,0.56,1.26
4,01/11/2009,3.34,1.48,1.37,1.97
5,01/11/2009,3.11,0.76,0.66,2.45
6,01/11/2009,3.09,1.02,0.46,2.63
7,01/11/2009,2.14,0.74,0.72,1.42
8,01/11/2009,2.20,0.45,0.66,1.54
9,01/11/2009,3.84,1.05,1.09,2.75
10,01/11/2009,3.86,0.52,0.84,3.02
11,01/11/2009,3.27,0.98,0.69,2.58
12,01/11/2009,3.20,0.89,0.70,2.50
13,01/11/2009,3.13,0.91,0.83,2.30
14,01/11/2009,2.18,0.59,0.54,1.64
15,01/11/2009,2.39,0.47,0.39,2.00
16,01/11/2009,2.83,0.59,0.80,2.03
17,01/11/2009,2.93,0.54,0.57,2.36
18,01/11/2009,3.19,0.58,0.52,2.67
19,01/11/2009,4.20,1.19,1.10,3.10
20,01/11/2009,3.14,1.03,1.00,2.14
21,01/11/2009,3.00,0.61,0.60,2.40
22,01/11/2009,3.02,1.15,1.08,1.94
23,01/11/2009,2.82,0.97,0.89,1.93
24,01/11/2009,3.83,0.98,0.95,2.88
25,01/11/2009,3.92,1.08,1.09,2.83
26,01/11/2009,4.06,0.79,0.80,3.26
27,01/11/2009,4.66,1.25,1.20,3.46
28,01/11/2009,4.58,0.98,0.85,3.73
29,01/11/2009,4.13,0.79,0.89,3.24
30,01/11/2009,3.45,0.78,0.96,2.49
31,01/11/2009,2.75,0.58,0.85,1.90
32,01/11/2009,2.49,0.59,0.72,1.77
33,01/11/2009,2.77,0.60,0.68,2.09
34,01/11/2009,2.62,0.58,0.59,2.03
1,01/12/2009,2.67,0.59,1.16,1.51
2,01/12/2009,1.90,0.16,0.34,1.56
3,01/12/2009,1.82,0.56,0.45,1.37
4,01/12/2009,3.34,1.37,1.70,1.64
5,01/12/2009,3.11,0.66,1.13,1.98
6,01/12/2009,3.09,0.46,1.05,2.04
7,01/12/2009,2.14,0.72,0.80,1.34
8,01/12/2009,2.20,0.66,0.55,1.65
9,01/12/2009,3.84,1.09,1.28,2.56
10,01/12/2009,3.86,0.84,0.94,2.92
11,01/12/2009,3.27,0.69,1.05,2.22
12,01/12/2009,3.20,0.70,0.74,2.46
13,01/12/2009,3.13,0.83,0.83,2.30
14,01/12/2009,2.18,0.54,0.59,1.59
15,01/12/2009,2.39,0.39,0.40,1.99
16,01/12/2009,2.83,0.80,0.75,2.08
17,01/12/2009,2.93,0.57,0.98,1.95
18,01/12/2009,3.19,0.52,0.58,2.61
19,01/12/2009,4.20,1.10,1.30,2.90
20,01/12/2009,3.14,1.00,0.75,2.39
21,01/12/2009,3.00,0.60,0.66,2.34
22,01/12/2009,3.02,1.08,1.11,1.91
23,01/12/2009,2.82,0.89,0.59,2.23
24,01/12/2009,3.83,0.95,,3.83
25,01/12/2009,3.92,1.09,1.22,2.70
26,01/12/2009,4.06,0.80,1.78,2.28
27,01/12/2009,4.66,1.20,1.15,3.51
28,01/12/2009,4.58,0.85,0.95,3.63
29,01/12/2009,4.13,0.89,0.94,3.19
30,01/12/2009,3.45,0.96,1.02,2.43
31,01/12/2009,2.75,0.85,1.05,1.70
32,01/12/2009,2.49,0.72,0.75,1.74
33,01/12/2009,2.77,0.68,1.12,1.65
34,01/12/2009,2.62,0.59,0.70,1.92
1,01/01/2008,2.67,1.15,0.62,2.05
2,01/01/2008,1.90,0.76,0.00,1.90
3,01/01/2008,1.82,0.40,0.30,1.52
4,01/01/2008,3.34,1.66,0.70,2.64
5,01/01/2008,3.11,0.80,0.44,2.67
6,01/01/2008,3.09,0.98,0.68,2.41
7,01/01/2008,2.14,0.93,0.63,1.51
8,01/01/2008,2.20,,0.60,1.60
9,01/01/2008,3.84,1.20,1.18,2.66
10,01/01/2008,3.86,0.86,0.48,3.38
11,01/01/2008,3.27,0.88,0.40,2.87
12,01/01/2008,3.20,1.12,0.30,2.90
13,01/01/2008,3.13,1.07,0.70,2.43
14,01/01/2008,2.18,,0.18,2.00
15,01/01/2008,2.39,0.67,0.22,1.94
16,01/01/2008,2.83,0.83,0.00,2.83
17,01/01/2008,2.93,1.05,0.00,2.93
18,01/01/2008,3.19,0.67,0.37,3.19
19,01/01/2008,4.20,1.82,1.60,2.60
20,01/01/2008,3.14,1.08,0.00,3.14
21,01/01/2008,3.00,1.32,0.00,3.00
22,01/01/2008,3.02,1.10,0.70,2.32
23,01/01/2008,2.82,1.18,1.00,1.82
24,01/01/2008,3.83,1.00,0.80,2.83
25,01/01/2008,3.92,1.02,0.90,3.02
26,01/01/2008,4.06,1.11,0.00,4.06
27,01/01/2008,4.66,1.20,0.00,4.66
28,01/01/2008,4.58,0.70,0.12,4.46
29,01/01/2008,4.13,0.56,0.58,3.55
30,01/01/2008,3.45,1.30,0.42,3.03
31,01/01/2008,2.75,0.93,0.00,2.75
32,01/01/2008,2.49,0.74,0.58,1.91
33,01/01/2008,2.77,0.73,0.19,2.07
34,01/01/2008,2.62,0.90,0.49,2.13
1,01/02/2008,2.67,0.62,0.70,1.97
2,01/02/2008,1.90,0.00,0.20,1.70
3,01/02/2008,1.82,0.30,0.31,1.51
4,01/02/2008,3.34,0.70,0.57,2.77
5,01/02/2008,3.11,0.44,0.37,2.74
6,01/02/2008,3.09,0.68,0.75,2.34
7,01/02/2008,2.14,0.63,0.03,2.11
8,01/02/2008,2.20,0.60,0.65,1.55
9,01/02/2008,3.84,1.18,1.20,2.64
10,01/02/2008,3.86,0.48,0.41,3.67
11,01/02/2008,3.27,0.40,0.64,2.63
12,01/02/2008,3.20,0.30,0.58,2.62
13,01/02/2008,3.13,0.70,0.74,2.39
14,01/02/2008,2.18,0.18,0.38,1.80
15,01/02/2008,2.39,0.22,0.23,1.94
16,01/02/2008,2.83,0.00,0.36,2.47
17,01/02/2008,2.93,0.00,0.06,2.87
18,01/02/2008,3.19,0.37,0.08,3.11
19,01/02/2008,4.20,1.60,0.25,3.95
20,01/02/2008,3.14,0.00,0.10,3.04
21,01/02/2008,3.00,0.00,0.15,2.85
22,01/02/2008,3.02,0.70,0.59,2.43
23,01/02/2008,2.82,1.00,0.60,2.22
24,01/02/2008,3.83,0.80,0.40,2.83
25,01/02/2008,3.92,0.90,0.36,3.56
26,01/02/2008,4.06,0.00,0.00,4.06
27,01/02/2008,4.66,0.00,0.25,4.41
28,01/02/2008,4.58,0.12,0.20,4.38
29,01/02/2008,4.13,0.58,0.00,4.13
30,01/02/2008,3.45,0.42,0.00,3.45
31,01/02/2008,2.75,0.00,0.50,2.25
32,01/02/2008,2.49,0.58,0.23,2.26
33,01/02/2008,2.77,0.19,0.16,2.61
34,01/02/2008,2.62,0.49,0.35,2.27
1,01/03/2008,2.67,0.70,0.67,2.00
2,01/03/2008,1.90,0.20,,
3,01/03/2008,1.82,0.31,0.39,1.43
4,01/03/2008,3.34,0.57,1.45,1.89
5,01/03/2008,3.11,0.37,0.41,2.70
6,01/03/2008,3.09,0.75,0.71,2.19
7,01/03/2008,2.14,0.03,0.57,1.57
8,01/03/2008,2.20,0.65,,
9,01/03/2008,3.84,1.20,1.02,2.82
10,01/03/2008,3.86,0.41,0.24,3.62
11,01/03/2008,3.27,0.64,0.45,2.82
12,01/03/2008,3.20,0.58,0.42,2.78
13,01/03/2008,3.13,0.74,0.62,2.51
14,01/03/2008,2.18,0.38,0.19,1.99
15,01/03/2008,2.39,0.23,,
16,01/03/2008,2.83,0.36,0.30,2.53
17,01/03/2008,2.93,0.06,,
18,01/03/2008,3.19,0.08,,2.87
19,01/03/2008,4.20,0.25,1.11,3.09
20,01/03/2008,3.14,0.10,,
21,01/03/2008,3.00,0.15,,2.68
22,01/03/2008,3.02,0.59,0.56,2.49
23,01/03/2008,2.82,0.60,0.59,2.23
24,01/03/2008,3.83,0.40,,2.83
25,01/03/2008,3.92,0.36,0.18,3.74
26,01/03/2008,4.06,0.00,,
27,01/03/2008,4.66,0.25,,
28,01/03/2008,4.58,0.20,,
29,01/03/2008,4.13,0.00,,
30,01/03/2008,3.45,0.00,,
31,01/03/2008,2.75,0.50,0.64,2.11
32,01/03/2008,2.49,0.23,0.48,2.01
33,01/03/2008,2.77,0.16,,
34,01/03/2008,2.62,0.35,0.34,2.28
1,16/04/2008,2.67,0.67,0.74,1.93
2,16/04/2008,1.90,,0.10,1.80
3,16/04/2008,1.82,0.39,0.33,1.49
4,16/04/2008,3.34,1.45,1.75,1.59
5,16/04/2008,3.11,0.41,0.49,2.62
6,16/04/2008,3.09,0.71,0.59,2.50
7,16/04/2008,2.14,0.57,0.52,1.62
8,16/04/2008,2.20,,0.54,1.66
9,16/04/2008,3.84,1.02,1.02,2.82
10,16/04/2008,3.86,0.24,,
11,16/04/2008,3.27,0.45,0.38,2.89
12,16/04/2008,3.20,0.42,0.53,2.67
13,16/04/2008,3.13,0.62,0.52,2.61
14,16/04/2008,2.18,0.19,0.28,1.90
15,16/04/2008,2.39,,,
16,16/04/2008,2.83,0.30,,
17,16/04/2008,2.93,,0.00,2.93
18,16/04/2008,3.19,,0.00,3.19
19,16/04/2008,4.20,1.11,0.70,3.50
20,16/04/2008,3.14,,0.00,3.14
21,16/04/2008,3.00,,0.00,3.00
22,16/04/2008,3.02,0.56,0.59,2.43
23,16/04/2008,2.82,0.59,0.18,2.64
24,16/04/2008,3.83,,0.26,3.57
25,16/04/2008,3.92,0.18,0.21,3.71
26,16/04/2008,4.06,,0.00,4.06
27,16/04/2008,4.66,,0.26,4.40
28,16/04/2008,4.58,,0.23,4.35
29,16/04/2008,4.13,,0.00,4.13
30,16/04/2008,3.45,,0.00,3.45
31,16/04/2008,2.75,0.64,0.48,2.27
32,16/04/2008,2.49,0.48,0.16,2.33
33,16/04/2008,2.77,,0.00,2.77
34,16/04/2008,2.62,0.34,0.40,2.22
1,01/05/2008,2.67,0.74,1.17,1.50
2,01/05/2008,1.90,0.10,0.50,1.40
3,01/05/2008,1.82,0.33,0.47,1.35
4,01/05/2008,3.34,1.75,1.45,1.89
5,01/05/2008,3.11,0.49,0.90,2.21
6,01/05/2008,3.09,0.59,0.98,2.11
7,01/05/2008,2.14,0.52,0.81,1.33
8,01/05/2008,2.20,0.54,0.92,1.28
9,01/05/2008,3.84,1.02,1.50,2.34
10,01/05/2008,3.86,,0.85,3.01
11,01/05/2008,3.27,0.38,1.07,2.20
12,01/05/2008,3.20,0.53,1.00,2.20
13,01/05/2008,3.13,0.52,0.89,2.24
14,01/05/2008,2.18,0.28,0.44,1.74
15,01/05/2008,2.39,,0.40,1.99
16,01/05/2008,2.83,,0.97,1.86
17,01/05/2008,2.93,0.00,0.83,2.10
18,01/05/2008,3.19,0.00,0.71,2.48
19,01/05/2008,4.20,0.70,1.33,2.87
20,01/05/2008,3.14,0.00,1.17,1.97
21,01/05/2008,3.00,0.00,1.10,1.90
22,01/05/2008,3.02,0.59,0.27,2.75
23,01/05/2008,2.82,0.18,0.99,1.83
24,01/05/2008,3.83,0.26,,3.83
25,01/05/2008,3.92,0.21,0.60,3.32
26,01/05/2008,4.06,0.00,0.56,3.50
27,01/05/2008,4.66,0.26,0.84,3.82
28,01/05/2008,4.58,0.23,0.95,3.63
29,01/05/2008,4.13,0.00,0.95,3.18
30,01/05/2008,3.45,0.00,0.90,2.55
31,01/05/2008,2.75,0.48,0.85,1.90
32,01/05/2008,2.49,0.16,0.70,1.79
33,01/05/2008,2.77,0.00,0.48,2.29
34,01/05/2008,2.62,0.40,0.53,2.09
1,01/06/2008,2.67,1.17,1.07,1.60
2,01/06/2008,1.90,0.50,0.85,1.05
3,01/06/2008,1.82,0.47,0.61,1.21
4,01/06/2008,3.34,1.45,1.13,2.21
5,01/06/2008,3.11,0.90,0.66,2.45
6,01/06/2008,3.09,0.98,1.01,2.08
7,01/06/2008,2.14,0.81,0.80,1.34
8,01/06/2008,2.20,0.92,,2.20
9,01/06/2008,3.84,1.50,1.08,2.76
10,01/06/2008,3.86,0.85,0.52,3.34
11,01/06/2008,3.27,1.07,0.85,2.42
12,01/06/2008,3.20,1.00,1.07,2.13
13,01/06/2008,3.13,0.89,0.84,2.29
14,01/06/2008,2.18,0.44,,2.18
15,01/06/2008,2.39,0.40,0.54,1.85
16,01/06/2008,2.83,0.97,0.83,2.00
17,01/06/2008,2.93,0.83,0.80,2.13
18,01/06/2008,3.19,0.71,0.86,2.33
19,01/06/2008,4.20,1.33,1.22,2.98
20,01/06/2008,3.14,1.17,0.94,2.20
21,01/06/2008,3.00,1.10,1.14,1.86
22,01/06/2008,3.02,0.27,0.92,2.10
23,01/06/2008,2.82,0.99,0.94,1.88
24,01/06/2008,3.83,,1.12,2.71
25,01/06/2008,3.92,0.60,1.10,2.82
26,01/06/2008,4.06,0.56,1.03,3.03
27,01/06/2008,4.66,0.84,0.98,3.68
28,01/06/2008,4.58,0.95,0.95,3.63
29,01/06/2008,4.13,0.95,1.08,3.05
30,01/06/2008,3.45,0.90,1.25,2.20
31,01/06/2008,2.75,0.85,0.85,1.90
32,01/06/2008,2.49,0.70,0.63,1.86
33,01/06/2008,2.77,0.48,0.44,2.33
34,01/06/2008,2.62,0.53,0.45,2.17
1,13/07/2008,2.67,1.07,1.10,1.57
2,13/07/2008,1.90,0.85,0.63,1.27
3,13/07/2008,1.82,0.61,0.48,1.34
4,13/07/2008,3.34,1.13,1.46,1.88
5,13/07/2008,3.11,0.66,0.68,2.43
6,13/07/2008,3.09,1.01,1.10,1.99
7,13/07/2008,2.14,0.80,0.74,1.40
8,13/07/2008,2.20,,0.74,1.46
9,13/07/2008,3.84,1.08,0.85,2.99
10,13/07/2008,3.86,0.52,0.60,3.26
11,13/07/2008,3.27,0.85,0.45,2.82
12,13/07/2008,3.20,1.07,0.84,2.36
13,13/07/2008,3.13,0.84,0.97,2.16
14,13/07/2008,2.18,,0.72,1.46
15,13/07/2008,2.39,0.54,0.64,1.75
16,13/07/2008,2.83,0.83,0.81,2.02
17,13/07/2008,2.93,0.80,0.76,2.17
18,13/07/2008,3.19,0.86,0.60,2.59
19,13/07/2008,4.20,1.22,2.10,2.10
20,13/07/2008,3.14,0.94,0.74,2.40
21,13/07/2008,3.00,1.14,0.74,2.26
22,13/07/2008,3.02,0.92,0.68,2.34
23,13/07/2008,2.82,0.94,0.65,2.17
24,13/07/2008,3.83,1.12,1.22,2.61
25,13/07/2008,3.92,1.10,1.20,2.72
26,13/07/2008,4.06,1.03,0.83,3.23
27,13/07/2008,4.66,0.98,1.90,2.76
28,13/07/2008,4.58,0.95,1.28,3.30
29,13/07/2008,4.13,1.08,1.17,2.96
30,13/07/2008,3.45,1.25,0.96,2.49
31,13/07/2008,2.75,0.85,0.97,1.78
32,13/07/2008,2.49,0.63,1.03,1.46
33,13/07/2008,2.77,0.44,0.49,2.28
34,13/07/2008,2.62,0.45,0.80,1.82
1,09/08/2008,2.67,1.10,1.25,1.42
2,09/08/2008,1.90,0.63,0.55,
3,09/08/2008,1.82,0.48,0.52,1.30
4,09/08/2008,3.34,1.46,1.48,1.86
5,09/08/2008,3.11,0.68,0.73,2.38
6,09/08/2008,3.09,1.10,1.15,1.94
7,09/08/2008,2.14,0.74,0.97,1.17
8,09/08/2008,2.20,0.74,0.71,1.49
9,09/08/2008,3.84,0.85,1.24,2.60
10,09/08/2008,3.86,0.60,0.60,3.26
11,09/08/2008,3.27,0.45,1.02,2.25
12,09/08/2008,3.20,0.84,0.68,2.52
13,09/08/2008,3.13,0.97,0.48,2.65
14,09/08/2008,2.18,0.72,0.86,1.32
15,09/08/2008,2.39,0.64,0.74,1.65
16,09/08/2008,2.83,0.81,0.91,1.92
17,09/08/2008,2.93,0.76,0.89,2.04
18,09/08/2008,3.19,0.60,0.78,2.41
19,09/08/2008,4.20,2.10,1.86,2.34
20,09/08/2008,3.14,0.74,0.78,2.36
21,09/08/2008,3.00,0.74,0.93,2.07
22,09/08/2008,3.02,0.68,1.23,1.79
23,09/08/2008,2.82,0.65,1.27,1.55
24,09/08/2008,3.83,1.22,,
25,09/08/2008,3.92,1.20,1.38,2.54
26,09/08/2008,4.06,0.83,0.62,3.44
27,09/08/2008,4.66,1.90,0.90,3.76
28,09/08/2008,4.58,1.28,0.81,3.77
29,09/08/2008,4.13,1.17,1.37,2.76
30,09/08/2008,3.45,0.96,1.40,2.05
31,09/08/2008,2.75,0.97,1.27,1.48
32,09/08/2008,2.49,1.03,1.05,1.44
33,09/08/2008,2.77,0.49,1.25,1.52
34,09/08/2008,2.62,0.80,0.68,1.94
1,15/09/2008,2.67,1.25,0.93,1.74
2,15/09/2008,1.90,0.55,0.71,1.19
3,15/09/2008,1.82,0.52,0.67,1.15
4,15/09/2008,3.34,1.48,1.50,1.84
5,15/09/2008,3.11,0.73,0.74,2.37
6,15/09/2008,3.09,1.15,0.91,2.18
7,15/09/2008,2.14,0.97,0.77,1.37
8,15/09/2008,2.20,0.71,0.80,1.40
9,15/09/2008,3.84,1.24,1.00,2.84
10,15/09/2008,3.86,0.60,0.62,3.24
11,15/09/2008,3.27,1.02,0.90,2.37
12,15/09/2008,3.20,0.68,0.86,2.34
13,15/09/2008,3.13,0.48,0.80,2.33
14,15/09/2008,2.18,0.86,0.54,1.64
15,15/09/2008,2.39,0.74,0.52,1.87
16,15/09/2008,2.83,0.91,0.71,2.12
17,15/09/2008,2.93,0.89,0.58,2.35
18,15/09/2008,3.19,0.78,0.61,2.58
19,15/09/2008,4.20,1.86,1.55,2.65
20,15/09/2008,3.14,0.78,0.57,2.57
21,15/09/2008,3.00,0.93,1.02,1.98
22,15/09/2008,3.02,1.23,0.84,2.18
23,15/09/2008,2.82,1.27,0.70,2.12
24,15/09/2008,3.83,,0.88,2.95
25,15/09/2008,3.92,1.38,0.90,3.02
26,15/09/2008,4.06,0.62,1.30,2.76
27,15/09/2008,4.66,0.90,1.00,3.66
28,15/09/2008,4.58,0.81,0.99,3.59
29,15/09/2008,4.13,1.37,0.28,3.85
30,15/09/2008,3.45,1.40,1.12,2.33
31,15/09/2008,2.75,1.27,0.96,1.79
32,15/09/2008,2.49,1.05,0.87,1.62
33,15/09/2008,2.77,1.25,0.64,2.13
34,15/09/2008,2.62,0.68,0.65,1.97
1,01/10/2008,2.67,0.93,1.24,1.43
2,01/10/2008,1.90,0.71,0.57,1.33
3,01/10/2008,1.82,0.67,0.79,1.03
4,01/10/2008,3.34,1.50,1.64,1.70
5,01/10/2008,3.11,0.74,0.89,2.22
6,01/10/2008,3.09,0.91,1.19,1.90
7,01/10/2008,2.14,0.77,1.01,1.13
8,01/10/2008,2.20,0.80,0.97,1.23
9,01/10/2008,3.84,1.00,1.31,2.53
10,01/10/2008,3.86,0.62,0.81,3.05
11,01/10/2008,3.27,0.90,1.03,2.24
12,01/10/2008,3.20,0.86,1.02,2.18
13,01/10/2008,3.13,0.80,1.04,2.09
14,01/10/2008,2.18,0.54,0.87,1.31
15,01/10/2008,2.39,0.52,0.80,1.59
16,01/10/2008,2.83,0.71,0.94,1.89
17,01/10/2008,2.93,0.58,0.87,2.06
18,01/10/2008,3.19,0.61,0.88,2.31
19,01/10/2008,4.20,1.55,1.53,2.67
20,01/10/2008,3.14,0.57,0.73,2.41
21,01/10/2008,3.00,1.02,1.02,1.98
22,01/10/2008,3.02,0.84,1.19,1.83
23,01/10/2008,2.82,0.70,1.26,1.56
24,01/10/2008,3.83,0.88,0.00,3.83
25,01/10/2008,3.92,0.90,1.12,2.80
26,01/10/2008,4.06,1.30,1.19,2.87
27,01/10/2008,4.66,1.00,1.40,3.26
28,01/10/2008,4.58,0.99,1.38,3.20
29,01/10/2008,4.13,0.28,0.50,3.63
30,01/10/2008,3.45,1.12,1.54,1.91
31,01/10/2008,2.75,0.96,1.22,1.53
32,01/10/2008,2.49,0.87,1.01,1.48
33,01/10/2008,2.77,0.64,1.03,1.74
34,01/10/2008,2.62,0.65,0.96,1.66
1,01/11/2008,2.67,1.24,1.12,1.55
2,01/11/2008,1.90,0.57,0.68,1.22
3,01/11/2008,1.82,0.79,0.75,1.07
4,01/11/2008,3.34,1.64,1.64,1.70
5,01/11/2008,3.11,0.89,1.22,1.89
6,01/11/2008,3.09,1.19,1.42,1.67
7,01/11/2008,2.14,1.01,1.01,1.13
8,01/11/2008,2.20,0.97,0.90,1.30
9,01/11/2008,3.84,1.31,1.21,2.63
10,01/11/2008,3.86,0.81,0.85,3.01
11,01/11/2008,3.27,1.03,1.08,2.19
12,01/11/2008,3.20,1.02,1.16,2.04
13,01/11/2008,3.13,1.04,1.27,1.86
14,01/11/2008,2.18,0.87,0.83,1.35
15,01/11/2008,2.39,0.80,0.73,1.66
16,01/11/2008,2.83,0.94,1.16,1.67
17,01/11/2008,2.93,0.87,1.00,1.93
18,01/11/2008,3.19,0.88,0.95,2.24
19,01/11/2008,4.20,1.53,1.50,2.70
20,01/11/2008,3.14,0.73,0.81,2.33
21,01/11/2008,3.00,1.02,0.98,2.02
22,01/11/2008,3.02,1.19,1.28,1.74
23,01/11/2008,2.82,1.26,1.41,1.41
24,01/11/2008,3.83,0.00,,3.83
25,01/11/2008,3.92,1.12,1.45,2.47
26,01/11/2008,4.06,1.19,1.50,2.56
27,01/11/2008,4.66,1.40,0.99,3.67
28,01/11/2008,4.58,1.38,0.69,3.89
29,01/11/2008,4.13,0.50,0.62,3.51
30,01/11/2008,3.45,1.54,1.42,2.03
31,01/11/2008,2.75,1.22,0.90,1.85
32,01/11/2008,2.49,1.01,0.94,1.55
33,01/11/2008,2.77,1.03,0.76,2.01
34,01/11/2008,2.62,0.96,0.89,1.73
1,01/12/2008,2.67,1.12,1.17,1.50
2,01/12/2008,1.90,0.68,0.74,1.16
3,01/12/2008,1.82,0.75,0.69,1.13
4,01/12/2008,3.34,1.64,1.41,1.93
5,01/12/2008,3.11,1.22,0.82,2.29
6,01/12/2008,3.09,1.42,1.01,2.08
7,01/12/2008,2.14,1.01,0.69,1.45
8,01/12/2008,2.20,0.90,0.73,1.47
9,01/12/2008,3.84,1.21,1.19,2.65
10,01/12/2008,3.86,0.85,0.84,3.02
11,01/12/2008,3.27,1.08,0.87,2.40
12,01/12/2008,3.20,1.16,0.87,2.33
13,01/12/2008,3.13,1.27,0.80,2.33
14,01/12/2008,2.18,0.83,0.74,1.44
15,01/12/2008,2.39,0.73,0.61,1.78
16,01/12/2008,2.83,1.16,0.70,2.13
17,01/12/2008,2.93,1.00,0.74,2.19
18,01/12/2008,3.19,0.95,0.76,2.43
19,01/12/2008,4.20,1.50,0.80,3.40
20,01/12/2008,3.14,0.81,0.90,2.24
21,01/12/2008,3.00,0.98,0.91,2.09
22,01/12/2008,3.02,1.28,1.03,1.99
23,01/12/2008,2.82,1.41,1.04,1.78
24,01/12/2008,3.83,,,3.83
25,01/12/2008,3.92,1.45,1.35,2.57
26,01/12/2008,4.06,1.50,1.33,2.73
27,01/12/2008,4.66,0.99,0.85,3.81
28,01/12/2008,4.58,0.69,0.36,4.22
29,01/12/2008,4.13,0.62,0.80,3.33
30,01/12/2008,3.45,1.42,1.05,2.40
31,01/12/2008,2.75,0.90,1.01,1.74
32,01/12/2008,2.49,0.94,0.66,1.83
33,01/12/2008,2.77,0.76,0.90,1.87
34,01/12/2008,2.62,0.89,0.73,1.89
1,15/01/2007,2.67,1.30,0.69,1.98
2,15/01/2007,1.90,0.56,,1.90
3,15/01/2007,1.82,0.37,0.14,1.68
4,15/01/2007,3.34,1.49,1.18,2.16
5,15/01/2007,3.11,0.99,0.65,2.46
6,15/01/2007,3.09,0.98,0.78,2.31
7,15/01/2007,2.14,0.71,0.63,1.51
8,15/01/2007,2.20,0.97,0.48,1.72
9,15/01/2007,3.84,0.78,0.73,3.11
10,15/01/2007,3.86,0.96,0.19,3.67
11,15/01/2007,3.27,0.64,0.38,2.89
12,15/01/2007,3.20,0.82,0.50,2.70
13,15/01/2007,3.13,0.91,0.71,2.42
14,15/01/2007,2.18,0.45,0.28,1.90
15,15/01/2007,2.39,0.34,,1.94
16,15/01/2007,2.83,0.65,0.49,2.34
17,15/01/2007,2.93,0.66,,2.93
18,15/01/2007,3.19,0.57,0.46,3.19
19,15/01/2007,4.20,1.15,,4.20
20,15/01/2007,3.14,0.54,0.29,2.85
21,15/01/2007,3.00,0.61,0.27,2.73
22,15/01/2007,3.02,1.11,0.55,2.47
23,15/01/2007,2.82,0.97,0.07,2.75
24,15/01/2007,3.83,0.00,,2.83
25,15/01/2007,3.92,0.92,0.23,3.69
26,15/01/2007,4.06,1.02,0.14,3.92
27,15/01/2007,4.66,1.21,0.78,3.88
28,15/01/2007,4.58,0.61,0.36,4.22
29,15/01/2007,4.13,0.37,0.18,3.95
30,15/01/2007,3.45,1.06,0.50,2.95
31,15/01/2007,2.75,0.91,0.53,2.22
32,15/01/2007,2.49,0.61,0.45,2.04
33,15/01/2007,2.77,0.38,,2.07
34,15/01/2007,2.62,0.48,0.40,2.22
1,15/02/2007,2.67,0.69,1.08,1.59
2,15/02/2007,1.90,,0.42,1.48
3,15/02/2007,1.82,0.14,0.71,1.11
4,15/02/2007,3.34,1.18,1.71,1.63
5,15/02/2007,3.11,0.65,0.85,2.26
6,15/02/2007,3.09,0.78,1.12,1.97
7,15/02/2007,2.14,0.63,1.13,1.01
8,15/02/2007,2.20,0.48,1.20,1.00
9,15/02/2007,3.84,0.73,1.28,2.56
10,15/02/2007,3.86,0.19,0.74,3.67
11,15/02/2007,3.27,0.38,0.20,3.07
12,15/02/2007,3.20,0.50,0.61,2.59
13,15/02/2007,3.13,0.71,0.87,2.26
14,15/02/2007,2.18,0.28,0.42,1.76
15,15/02/2007,2.39,,0.37,1.94
16,15/02/2007,2.83,0.49,0.62,2.21
