Aforo,Este,Norte,Fecha,Qtotal (m3/s)
Campesino,194248,8103536,26/07/2002,0.53
Centro de visitantes,193407,8104162,26/07/2002,0.563
Motobomba,192546,8104722,26/07/2002,0.638
Camanejos,197321,8100714,26/07/2002,0.012
Dren ciego,194330,8103436,26/07/2002,
Rossy,195723,8102026,26/07/2002,0.012
Puntilla,196473,8103514,29/08/2002,0.178
Campesino,194248,8103536,29/08/2002,0.531
Centro de visitantes,193407,8104162,29/08/2002,0.612
Motobomba,192546,8104722,29/08/2002,0.801
Camanejos,197321,8100714,29/08/2002,0.016
Dren ciego,194330,8103436,29/08/2002,
Rossy,195723,8102026,29/08/2002,
Puntilla,196473,8103514,29/09/2002,0.164
Campesino,194248,8103536,29/09/2002,0.576
Centro de visitantes,193407,8104162,29/09/2002,0.534
Motobomba,192546,8104722,29/09/2002,0.608
Camanejos,197321,8100714,29/09/2002,0.012
Dren ciego,194330,8103436,29/09/2002,
Rossy,195723,8102026,29/09/2002,
Puntilla,196473,8103514,01/10/2002,0.16
Campesino,194248,8103536,01/10/2002,0.729
Centro de visitantes,193407,8104162,01/10/2002,0.54
Motobomba,192546,8104722,01/10/2002,0.942
Camanejos,197321,8100714,01/10/2002,0.011
Dren ciego,194330,8103436,01/10/2002,
Rossy,195723,8102026,01/10/2002,
Puntilla,196473,8103514,01/11/2002,0.197
Campesino,194248,8103536,01/11/2002,0.738
Centro de visitantes,193407,8104162,01/11/2002,0.54
Motobomba,192546,8104722,01/11/2002,0.818
Camanejos,197321,8100714,01/11/2002,0.035
Dren ciego,194330,8103436,01/11/2002,
Rossy,195723,8102026,01/11/2002,
Puntilla,196473,8103514,06/12/2002,0.123
Campesino,194248,8103536,06/12/2002,0.605
Centro de visitantes,193407,8104162,06/12/2002,0.569
Motobomba,192546,8104722,06/12/2002,0.681
Camanejos,197321,8100714,06/12/2002,0.062
Dren ciego,194330,8103436,06/12/2002,
Rossy,195723,8102026,06/12/2002,
