Aforo,Este,Norte,Fecha,Qtotal (m3/s)
Puntilla,196473,8103514,11/09/2014,0.252
Campesino,194248,8103536,11/09/2014,0.624
Centro de visitantes,193407,8104162,11/09/2014,0.625
Motobomba,192546,8104722,11/09/2014,0.642
Camanejos,197321,8100714,11/09/2014,0.108
Dren ciego,194330,8103436,11/09/2014,0.055
Rossy,195723,8102026,11/09/2014,0.068
Puntilla,196473,8103514,14/10/2014,0
Campesino,194248,8103536,14/10/2014,0.417
Centro de visitantes,193407,8104162,14/10/2014,0.551
Motobomba,192546,8104722,14/10/2014,0.591
Camanejos,197321,8100714,14/10/2014,0.119
Dren ciego,194330,8103436,14/10/2014,0.002
Rossy,195723,8102026,14/10/2014,0.008
Puntilla,196473,8103514,10/11/2014,0.197
Campesino,194248,8103536,10/11/2014,0.457
Centro de visitantes,193407,8104162,10/11/2014,0.456
Motobomba,192546,8104722,10/11/2014,0.356
Camanejos,197321,8100714,10/11/2014,0.121
Dren ciego,194330,8103436,10/11/2014,0.172
Rossy,195723,8102026,10/11/2014,0.006
Puntilla,196473,8103514,13/12/2014,
Campesino,194248,8103536,13/12/2014,
Centro de visitantes,193407,8104162,13/12/2014,0.326
Motobomba,192546,8104722,13/12/2014,0.31
Camanejos,197321,8100714,13/12/2014,0.095
Dren ciego,194330,8103436,13/12/2014,0.06
Rossy,195723,8102026,13/12/2014,0.043
Puntilla,196473,8103514,17/01/2013,0.16
Campesino,194248,8103536,17/01/2013,0.672
Centro de visitantes,193407,8104162,17/01/2013,0.626
Motobomba,192546,8104722,17/01/2013,0.635
Camanejos,197321,8100714,17/01/2013,0.366
Dren ciego,194330,8103436,17/01/2013,0.147
Rossy,195723,8102026,17/01/2013,0.405
Puntilla,196473,8103514,15/02/2013,0.497
Campesino,194248,8103536,15/02/2013,0.909
Centro de visitantes,193407,8104162,15/02/2013,0.705
Motobomba,192546,8104722,15/02/2013,0.749
Camanejos,197321,8100714,15/02/2013,0.29
Dren ciego,194330,8103436,15/02/2013,0.172
Rossy,195723,8102026,15/02/2013,0.427
Puntilla,196473,8103514,12/03/2013,0.319
Campesino,194248,8103536,12/03/2013,1.465
Centro de visitantes,193407,8104162,12/03/2013,0.698
Motobomba,192546,8104722,12/03/2013,0.505
Camanejos,197321,8100714,12/03/2013,0.373
Dren ciego,194330,8103436,12/03/2013,0.492
Rossy,195723,8102026,12/03/2013,0.638
Puntilla,196473,8103514,17/04/2013,0.253
Campesino,194248,8103536,17/04/2013,0.606
Centro de visitantes,193407,8104162,17/04/2013,0.582
Motobomba,192546,8104722,17/04/2013,0.623
Camanejos,197321,8100714,17/04/2013,0.009
Dren ciego,194330,8103436,17/04/2013,0.012
Rossy,195723,8102026,17/04/2013,0.418
Puntilla,196473,8103514,17/5/2013,0.414
Campesino,194248,8103536,17/5/2013,0.606
Centro de visitantes,193407,8104162,17/5/2013,0.676
Motobomba,192546,8104722,17/5/2013,0.583
Camanejos,197321,8100714,17/5/2013,0.083
